cliente,muy_barato,barato,caro,muy_caro
Cliente_288,30,37,47,55
Cliente_289,17,24,30,35
Cliente_290,12,19,29,40
Cliente_291,36,39,49,57
Cliente_292,29,33,41,47
Cliente_293,26,33,42,48
Cliente_294,19,29,34,43
Cliente_295,27,35,44,51
Cliente_296,22,28,35,47
Cliente_297,22,31,40,45
Cliente_298,19,25,32,39
Cliente_299,30,36,47,54
Cliente_300,20,29,37,46
Cliente_301,35,42,51,59
Cliente_302,29,35,42,50
Cliente_303,29,39,45,53
Cliente_304,24,31,40,47
Cliente_305,32,39,45,52
Cliente_306,18,24,33,40
Cliente_307,23,32,42,50
Cliente_308,21,29,36,50
Cliente_309,24,32,40,49
Cliente_310,19,28,33,39
Cliente_311,17,26,36,45
Cliente_312,18,27,33,41
Cliente_313,20,29,38,44
Cliente_314,18,25,33,39
Cliente_315,19,24,32,40
Cliente_316,25,36,46,55
Cliente_317,23,30,37,44
Cliente_318,28,39,48,55
Cliente_319,16,25,34,43
Cliente_320,11,20,31,38
Cliente_321,21,28,38,43
Cliente_322,11,22,28,37
Cliente_323,3,14,25,34
Cliente_324,22,30,37,46
Cliente_325,17,27,35,41
Cliente_326,19,29,32,41
Cliente_327,21,29,37,45
Cliente_328,13,25,38,45
Cliente_329,20,29,38,48
Cliente_330,28,35,41,54
Cliente_331,10,21,29,38
Cliente_332,22,32,41,49
Cliente_333,18,23,32,42
Cliente_334,24,30,36,42
Cliente_335,24,31,38,46
Cliente_336,19,25,31,39
Cliente_337,23,33,38,44
Cliente_338,21,32,41,53
Cliente_339,20,26,35,42
Cliente_340,34,43,50,55
Cliente_341,26,35,41,51
Cliente_342,25,32,37,48
Cliente_343,23,32,39,47
Cliente_344,26,31,44,53
Cliente_345,17,23,32,39
Cliente_346,30,35,48,56
Cliente_347,16,22,32,39
Cliente_348,25,33,41,45
Cliente_349,22,31,35,39
Cliente_350,13,24,30,38
Cliente_351,24,34,42,48
Cliente_352,25,37,44,51
Cliente_353,13,22,31,37
Cliente_354,9,15,21,30
Cliente_355,30,40,46,56
Cliente_356,30,37,48,57
Cliente_357,21,28,38,44
Cliente_358,11,21,27,32
Cliente_359,28,32,38,44
Cliente_360,16,22,28,38
Cliente_361,20,28,36,45
Cliente_362,22,30,37,46
Cliente_363,20,26,30,42
Cliente_364,15,23,29,39
Cliente_365,21,31,39,48
Cliente_366,23,29,38,51
Cliente_367,23,30,40,45
Cliente_368,15,23,28,36
Cliente_369,22,29,40,49
Cliente_370,22,29,41,51
Cliente_371,18,27,35,42
Cliente_372,27,32,38,50
Cliente_373,14,23,29,39
Cliente_374,15,25,34,43
Cliente_375,20,27,38,44
Cliente_376,25,30,36,46
Cliente_377,18,25,31,37
Cliente_378,16,24,30,38
Cliente_379,28,36,46,52
Cliente_380,18,25,34,39
Cliente_381,25,28,36,46
Cliente_382,31,40,51,59
Cliente_383,22,31,40,46
Cliente_384,12,22,29,35
Cliente_385,28,40,46,54
Cliente_386,13,20,32,41
Cliente_387,24,32,39,45
Cliente_388,24,32,41,49
Cliente_389,16,25,31,35
Cliente_390,25,33,44,53
Cliente_391,22,34,43,54
Cliente_392,11,18,28,38
Cliente_393,20,29,37,44
Cliente_394,12,19,26,31
Cliente_395,33,43,55,62
Cliente_396,21,31,37,45
Cliente_397,21,29,38,51
Cliente_398,32,41,45,52
Cliente_399,21,28,36,40
Cliente_400,19,24,31,38
Cliente_401,26,35,40,48
Cliente_402,19,30,35,44
Cliente_403,22,31,41,48
Cliente_404,19,29,39,47
Cliente_405,25,33,40,45
Cliente_406,12,20,31,41
Cliente_407,28,35,45,55
Cliente_408,18,24,31,39
Cliente_409,15,27,36,47
Cliente_410,19,25,34,43
Cliente_411,12,20,26,35
Cliente_412,16,23,36,44
Cliente_413,17,27,36,45
Cliente_414,25,35,39,45
Cliente_415,13,25,31,38
Cliente_416,27,35,41,52
Cliente_417,22,30,36,44
Cliente_418,19,29,35,43
Cliente_419,18,25,31,40
Cliente_420,18,29,40,46
Cliente_421,25,36,43,51
Cliente_422,19,29,38,44
Cliente_423,19,30,38,42
Cliente_424,25,36,45,54
Cliente_425,22,25,32,36
Cliente_426,17,25,28,36
Cliente_427,25,33,42,48
Cliente_428,18,26,33,40
Cliente_429,16,26,35,43
Cliente_430,25,33,41,51
Cliente_431,12,19,22,32
Cliente_432,19,26,32,39
Cliente_433,16,23,33,39
Cliente_434,35,46,55,66
Cliente_435,34,41,52,59
Cliente_436,25,35,43,54
Cliente_437,22,29,38,48
Cliente_438,14,21,29,37
Cliente_439,17,29,38,51
Cliente_440,29,35,41,48
Cliente_441,24,32,42,51
Cliente_442,27,40,49,58
Cliente_443,23,31,37,44
Cliente_444,21,27,36,44
Cliente_445,23,30,38,44
Cliente_446,30,36,45,53
Cliente_447,18,29,35,45
Cliente_448,19,23,30,37
Cliente_449,20,26,34,45
Cliente_450,21,32,39,47
Cliente_451,27,35,45,53
Cliente_452,12,19,27,34
Cliente_453,22,31,37,44
Cliente_454,20,24,34,42
Cliente_455,24,32,40,47
Cliente_456,23,32,43,52
Cliente_457,23,27,38,46
Cliente_458,32,39,46,55
Cliente_459,22,29,37,42
Cliente_460,21,30,39,45
Cliente_461,13,20,28,39
Cliente_462,22,29,37,44
Cliente_463,28,37,46,60
Cliente_464,15,22,31,43
Cliente_465,25,31,42,50
Cliente_466,24,31,38,45
Cliente_467,14,22,29,36
Cliente_468,24,30,37,42
Cliente_469,30,38,48,54
Cliente_470,16,21,31,38
Cliente_471,16,25,33,43
Cliente_472,22,32,39,49
Cliente_473,29,37,48,54
Cliente_474,27,38,47,54
Cliente_475,20,31,41,49
Cliente_476,20,29,38,46
Cliente_477,25,33,39,49
Cliente_478,17,30,38,46
Cliente_479,13,24,33,38
Cliente_480,19,28,35,45
Cliente_481,22,32,40,50
Cliente_482,26,31,41,44
Cliente_483,20,29,38,47
Cliente_484,26,33,42,50
Cliente_485,20,28,34,40
Cliente_486,11,17,29,39
Cliente_487,19,25,32,39
Cliente_488,9,21,27,36
Cliente_489,24,32,41,44
Cliente_490,23,29,35,39
Cliente_491,21,31,42,47
Cliente_492,24,32,40,51
Cliente_493,21,29,38,47
Cliente_494,21,30,39,45
Cliente_495,16,25,32,38
Cliente_496,23,31,39,50
Cliente_497,19,24,32,40
Cliente_498,19,28,35,42
Cliente_499,26,34,44,53
Cliente_500,25,35,43,49
