cliente,muy_barato,barato,caro,muy_caro
Cliente_175,86,94,101,110
Cliente_176,56,70,90,103
Cliente_177,64,100,108,150
Cliente_178,69,73,77,88
Cliente_179,75,110,120,126
Cliente_180,80,94,112,119
Cliente_181,74,90,100,102
Cliente_182,87,113,120,127
Cliente_183,66,73,82,94
Cliente_184,69,85,97,119
Cliente_185,59,73,96,127
Cliente_186,70,92,99,109
Cliente_187,60,69,80,81
Cliente_188,74,75,96,100
Cliente_189,60,81,99,116
Cliente_190,62,74,105,119
Cliente_191,69,75,77,106
Cliente_192,56,66,70,82
Cliente_193,62,76,82,95
Cliente_194,60,69,76,92
Cliente_195,77,98,112,126
Cliente_196,67,72,89,94
Cliente_197,70,103,124,143
Cliente_198,82,89,91,99
Cliente_199,67,89,94,114
Cliente_200,63,64,83,85
Cliente_201,55,59,82,89
Cliente_202,75,91,109,130
Cliente_203,71,90,99,115
Cliente_204,75,92,119,148
Cliente_205,84,87,103,106
Cliente_206,68,81,94,129
Cliente_207,78,91,101,106
Cliente_208,71,78,116,128
Cliente_209,60,63,86,100
Cliente_210,63,68,70,117
Cliente_211,68,76,104,109
Cliente_212,77,92,94,111
Cliente_213,54,62,78,80
Cliente_214,59,65,80,106
Cliente_215,59,64,87,93
Cliente_216,77,93,99,109
Cliente_217,61,68,84,95
Cliente_218,55,67,72,90
Cliente_219,58,95,109,115
Cliente_220,62,76,77,79
Cliente_221,77,84,86,90
Cliente_222,78,88,100,114
Cliente_223,65,87,116,139
Cliente_224,80,88,103,114
Cliente_225,60,68,84,90
Cliente_226,68,87,90,104
Cliente_227,85,130,141,157
Cliente_228,66,75,89,127
Cliente_229,73,79,105,138
Cliente_230,58,67,73,96
Cliente_231,54,60,68,70
Cliente_232,69,76,88,92
Cliente_233,71,77,115,127
Cliente_234,64,68,70,88
Cliente_235,69,73,91,100
Cliente_236,68,84,108,121
Cliente_237,61,73,90,94
Cliente_238,75,92,96,104
Cliente_239,71,77,88,115
Cliente_240,69,82,85,90
Cliente_241,64,67,78,98
Cliente_242,64,67,73,77
Cliente_243,62,73,80,84
Cliente_244,68,72,86,99
Cliente_245,73,85,96,109
Cliente_246,69,81,110,138
Cliente_247,70,74,78,88
Cliente_248,58,92,99,112
Cliente_249,68,103,109,129
Cliente_250,72,74,87,115
Cliente_251,56,61,71,86
Cliente_252,72,75,78,79
Cliente_253,77,83,98,116
Cliente_254,60,80,89,94
Cliente_255,74,80,93,97
Cliente_256,66,69,91,96
Cliente_257,79,81,82,109
Cliente_258,73,91,111,114
Cliente_259,66,75,88,95
Cliente_260,70,76,79,98
Cliente_261,70,75,88,105
Cliente_262,67,86,96,118
Cliente_263,75,80,84,100
Cliente_264,60,66,77,109
Cliente_265,62,63,74,76
Cliente_266,76,95,114,122
Cliente_267,55,64,80,91
Cliente_268,79,94,95,113
Cliente_269,87,92,103,105
Cliente_270,63,73,103,109
Cliente_271,72,81,93,110
Cliente_272,79,82,88,107
Cliente_273,82,106,123,129
Cliente_274,81,91,104,108
Cliente_275,64,70,80,84
Cliente_276,74,77,91,97
Cliente_277,70,79,99,140
Cliente_278,66,94,103,104
Cliente_279,69,75,93,113
Cliente_280,84,93,106,131
Cliente_281,53,70,72,75
Cliente_282,71,78,88,109
Cliente_283,56,79,90,96
Cliente_284,73,88,111,123
Cliente_285,67,78,90,93
Cliente_286,75,80,90,101
Cliente_287,74,82,89,100
Cliente_288,87,89,94,107
Cliente_289,60,65,76,79
Cliente_290,68,88,126,141
Cliente_291,70,71,97,109
Cliente_292,52,68,73,94
Cliente_293,82,90,107,131
Cliente_294,74,83,100,118
Cliente_295,69,74,79,81
Cliente_296,75,79,82,87
Cliente_297,73,79,98,114
Cliente_298,72,78,79,91
Cliente_299,55,58,62,71
Cliente_300,48,56,58,76
Cliente_301,66,72,92,102
Cliente_302,74,76,102,113
Cliente_303,56,80,106,117
Cliente_304,64,83,94,119
Cliente_305,69,96,104,108
Cliente_306,82,92,94,118
Cliente_307,74,75,77,90
Cliente_308,49,74,76,81
Cliente_309,69,77,92,105
Cliente_310,62,78,89,96
Cliente_311,82,88,109,124
Cliente_312,73,86,100,111
Cliente_313,72,77,80,97
Cliente_314,70,87,94,110
Cliente_315,68,73,85,98
Cliente_316,67,96,106,115
Cliente_317,62,81,83,92
Cliente_318,65,78,79,95
Cliente_319,74,89,90,92
Cliente_320,74,93,96,101
Cliente_321,64,112,122,126
Cliente_322,74,76,78,81
Cliente_323,56,64,79,85
Cliente_324,66,82,108,110
Cliente_325,69,77,82,99
Cliente_326,67,74,86,101
Cliente_327,72,80,99,125
Cliente_328,80,89,115,129
Cliente_329,71,74,103,108
Cliente_330,58,66,72,85
Cliente_331,65,69,85,95
Cliente_332,76,93,131,133
Cliente_333,73,78,113,121
Cliente_334,59,79,105,108
Cliente_335,66,68,89,105
Cliente_336,61,88,103,123
Cliente_337,76,107,121,130
Cliente_338,69,90,92,112
Cliente_339,63,85,91,107
Cliente_340,67,90,106,131
Cliente_341,61,90,93,108
Cliente_342,75,81,96,106
Cliente_343,72,92,108,111
Cliente_344,85,92,109,142
Cliente_345,60,83,92,104
Cliente_346,54,55,57,68
Cliente_347,73,80,85,99
Cliente_348,71,91,94,108
Cliente_349,66,76,89,93
Cliente_350,77,109,114,120
Cliente_351,56,60,79,83
Cliente_352,64,74,96,98
Cliente_353,66,76,95,98
Cliente_354,76,93,97,103
Cliente_355,59,92,96,115
Cliente_356,61,62,76,84
Cliente_357,69,76,81,93
Cliente_358,76,89,120,127
Cliente_359,66,68,80,104
Cliente_360,68,83,88,101
Cliente_361,56,68,76,107
Cliente_362,66,72,98,103
Cliente_363,64,69,88,103
Cliente_364,64,70,87,94
Cliente_365,76,82,107,108
Cliente_366,62,77,83,98
Cliente_367,60,77,107,129
Cliente_368,76,97,102,107
Cliente_369,80,99,105,119
Cliente_370,79,100,130,152
Cliente_371,67,74,78,96
Cliente_372,75,77,98,103
Cliente_373,63,80,86,101
Cliente_374,66,74,81,91
Cliente_375,68,79,104,117
Cliente_376,61,89,105,132
Cliente_377,74,77,85,98
Cliente_378,66,74,92,102
Cliente_379,84,101,115,117
Cliente_380,46,51,56,72
Cliente_381,66,72,95,122
Cliente_382,84,93,118,130
Cliente_383,60,73,83,122
Cliente_384,92,105,109,156
Cliente_385,80,94,114,146
Cliente_386,75,98,151,153
Cliente_387,66,83,94,95
Cliente_388,77,102,106,121
Cliente_389,81,83,95,101
Cliente_390,52,69,78,94
Cliente_391,65,74,95,114
Cliente_392,77,96,106,108
Cliente_393,54,70,84,100
Cliente_394,82,86,100,101
Cliente_395,70,80,97,102
Cliente_396,59,69,85,97
Cliente_397,73,93,119,137
Cliente_398,55,63,69,88
Cliente_399,52,67,76,91
Cliente_400,63,75,80,100
Cliente_401,73,93,95,119
Cliente_402,61,79,93,103
Cliente_403,70,85,101,117
Cliente_404,67,71,90,104
Cliente_405,57,68,86,116
Cliente_406,73,95,114,125
Cliente_407,70,92,96,108
Cliente_408,65,72,99,107
Cliente_409,75,78,84,91
Cliente_410,70,78,79,95
Cliente_411,74,78,97,101
Cliente_412,69,77,84,87
Cliente_413,73,90,93,96
Cliente_414,49,81,83,89
Cliente_415,59,61,63,68
Cliente_416,59,66,71,76
Cliente_417,69,85,93,123
Cliente_418,70,83,88,108
Cliente_419,66,71,76,80
Cliente_420,63,81,83,93
Cliente_421,79,104,106,122
Cliente_422,61,73,86,96
Cliente_423,67,74,78,79
Cliente_424,62,111,114,149
Cliente_425,75,83,89,116
Cliente_426,73,79,91,105
Cliente_427,48,63,65,72
